%data taken on: Do, 01.11.2007 20:42:45,2604
%callers: probe_box_plugin.vi
%voltage ramp: -40,0000 to 20,0000 Volts
%datapoints: 400
%average counts: 4
%sample rate: 10000 S/s
%measure range is: 100 mA
%----------------------------------------------------------------------
-4.0000E+1 1.1060E-3
-3.9850E+1 1.7773E-3
-3.9699E+1 1.8140E-3
-3.9549E+1 1.8506E-3
-3.9398E+1 1.8628E-3
-3.9248E+1 1.8628E-3
-3.9098E+1 1.8872E-3
-3.8947E+1 1.8994E-3
-3.8797E+1 1.9238E-3
-3.8647E+1 1.9116E-3
-3.8496E+1 1.9238E-3
-3.8346E+1 1.9238E-3
-3.8195E+1 1.8994E-3
-3.8045E+1 1.8872E-3
-3.7895E+1 1.8994E-3
-3.7744E+1 1.8994E-3
-3.7594E+1 1.8872E-3
-3.7444E+1 1.8994E-3
-3.7293E+1 1.8872E-3
-3.7143E+1 1.8872E-3
-3.6992E+1 1.8994E-3
-3.6842E+1 1.8994E-3
-3.6692E+1 1.8994E-3
-3.6541E+1 1.8872E-3
-3.6391E+1 1.9116E-3
-3.6241E+1 1.9116E-3
-3.6090E+1 1.9116E-3
-3.5940E+1 1.8994E-3
-3.5789E+1 1.8750E-3
-3.5639E+1 1.8506E-3
-3.5489E+1 1.8506E-3
-3.5338E+1 1.8506E-3
-3.5188E+1 1.8506E-3
-3.5038E+1 1.8506E-3
-3.4887E+1 1.8384E-3
-3.4737E+1 1.8384E-3
-3.4586E+1 1.8262E-3
-3.4436E+1 1.8140E-3
-3.4286E+1 1.8140E-3
-3.4135E+1 1.7896E-3
-3.3985E+1 1.8140E-3
-3.3835E+1 1.7896E-3
-3.3684E+1 1.7773E-3
-3.3534E+1 1.7407E-3
-3.3383E+1 1.7285E-3
-3.3233E+1 1.7163E-3
-3.3083E+1 1.6919E-3
-3.2932E+1 1.6919E-3
-3.2782E+1 1.6919E-3
-3.2632E+1 1.6797E-3
-3.2481E+1 1.6919E-3
-3.2331E+1 1.6797E-3
-3.2180E+1 1.6919E-3
-3.2030E+1 1.6675E-3
-3.1880E+1 1.6553E-3
-3.1729E+1 1.6431E-3
-3.1579E+1 1.6309E-3
-3.1429E+1 1.6187E-3
-3.1278E+1 1.6064E-3
-3.1128E+1 1.5942E-3
-3.0977E+1 1.5698E-3
-3.0827E+1 1.5942E-3
-3.0677E+1 1.5698E-3
-3.0526E+1 1.5820E-3
-3.0376E+1 1.5820E-3
-3.0226E+1 1.5942E-3
-3.0075E+1 1.6064E-3
-2.9925E+1 1.5942E-3
-2.9774E+1 1.5942E-3
-2.9624E+1 1.5820E-3
-2.9474E+1 1.5698E-3
-2.9323E+1 1.5698E-3
-2.9173E+1 1.5698E-3
-2.9023E+1 1.5698E-3
-2.8872E+1 1.5576E-3
-2.8722E+1 1.5454E-3
-2.8571E+1 1.5576E-3
-2.8421E+1 1.5820E-3
-2.8271E+1 1.5698E-3
-2.8120E+1 1.5820E-3
-2.7970E+1 1.6064E-3
-2.7820E+1 1.5942E-3
-2.7669E+1 1.6064E-3
-2.7519E+1 1.6064E-3
-2.7368E+1 1.6064E-3
-2.7218E+1 1.6064E-3
-2.7068E+1 1.6187E-3
-2.6917E+1 1.6187E-3
-2.6767E+1 1.6187E-3
-2.6617E+1 1.6431E-3
-2.6466E+1 1.6431E-3
-2.6316E+1 1.6553E-3
-2.6165E+1 1.6553E-3
-2.6015E+1 1.6797E-3
-2.5865E+1 1.6797E-3
-2.5714E+1 1.7041E-3
-2.5564E+1 1.7041E-3
-2.5414E+1 1.7163E-3
-2.5263E+1 1.7041E-3
-2.5113E+1 1.7163E-3
-2.4962E+1 1.7041E-3
-2.4812E+1 1.7163E-3
-2.4662E+1 1.7163E-3
-2.4511E+1 1.7163E-3
-2.4361E+1 1.7285E-3
-2.4211E+1 1.7529E-3
-2.4060E+1 1.7651E-3
-2.3910E+1 1.7651E-3
-2.3759E+1 1.7651E-3
-2.3609E+1 1.7773E-3
-2.3459E+1 1.7773E-3
-2.3308E+1 1.7896E-3
-2.3158E+1 1.7896E-3
-2.3008E+1 1.8018E-3
-2.2857E+1 1.7896E-3
-2.2707E+1 1.7773E-3
-2.2556E+1 1.7651E-3
-2.2406E+1 1.7529E-3
-2.2256E+1 1.7773E-3
-2.2105E+1 1.7651E-3
-2.1955E+1 1.7773E-3
-2.1805E+1 1.7896E-3
-2.1654E+1 1.7651E-3
-2.1504E+1 1.7651E-3
-2.1353E+1 1.7896E-3
-2.1203E+1 1.7773E-3
-2.1053E+1 1.7773E-3
-2.0902E+1 1.7407E-3
-2.0752E+1 1.7285E-3
